Date,Username,Tweet
2023-03-20 17:30:07+00:00,PenttiSari,"Nykyisissä työpaikoissani ei ole minulle tarjolla #lakiin säädettyä #työterveyspalvelua, koska he kenties rahoillaan panostavat enemmän #järjestelmien ja älytekniikkansa ylläpitoon, kun se #digi on vissiin tärkeämpi kuin terveys, niiden johtajien mielestä? Niinkö? Mitäs siihen?"
2023-02-28 10:15:10+00:00,dogetalist,"Palvelunestohyökkäys kaikkialle, ni viihdyttäneen runsaasti säästökeinoja #digiterveys"
2023-02-23 09:22:18+00:00,AkolahtiThomas,"Vain harvat viisaat maat välttyvät Australian,  Kanadan,Ranskan ja Suomen kaltaisilta totalitaristisilta ministereiltä.Suomessa ""terveys""viranomaiset ovat jo piikit pystyssä tukemassa nykyistä WEFn, WHOn,EKPn Sanna ""naive socialist"":a ja rokotepassi ja Digi ID:n Ursulaa."
2023-02-14 13:21:45+00:00,leenalinnea,"Terveys on tärkein voimavaramme ja siitä on pidettävä kiinni! Digitalisoimalla saamme enemmän irti ja vastaamme paremmin vanhenevan väestön tuomiin haasteisiin. Datan ja digin avulla pidämme huolta, että suomalaisten terveys pysyy hyvällä tolalla jatkossakin. #sotedigi #digi https://t.co/oKThU1IjP8"
2023-01-10 20:53:03+00:00,oude_lap,"@Conserv65693068 @StarfireCodes empä tiedä...ruoka,raha,terveys etc voiko näitä mitenkään hoitaa kun ei ole digi identtitodistusta ja rokotteet ajan tasalla.."
2022-12-01 21:16:32+00:00,EevaPrimmer,"Päästäänkö pian #luonnonsuojelulaki - uudistuksen sisältöön? Mitä riitautetut pykälät 64, 65 pitävät sisällään, miten ne vertautivat muuhun tietoon pohjaavaan lainsäädäntöön, johon liittyy jatkuvia päivitystarpeita? #ympäristö ja #terveys -#sääntely selkeimpiä, mutta myös #digi https://t.co/TJRuINmohN"
2022-11-28 07:02:52+00:00,LHyssala,"Erikoista, ettei mainita säästönä etäpalveluja, digi-kehitystä. Pois käyntiasioinnista! Laittakaa puhelin- ja nettipalvelu kuntoon. Lisärahaa ei liioin tarvita, jos rakenteellisia uudistuksia tehdään. Lisäksi painopiste ehkäisevään työhön! #terveys https://t.co/9hhAySFtB9"
2022-11-23 10:05:54+00:00,AstaWallenius,"#EU4health ohjelmaan kannattaa tutustua. Suomessa riittää osaamista ja valmiutta ppp-kumppanuuksiin, edelläkävijyyttä ja ajatusjohtajuutta monessa avoinna olevista teemoista #tki #varautuminen #ennaltaehkäisy #digiterveys #syöpä #sote #osaaminen #EUrahoitus #terveys #hyvinvointi"
2022-11-02 09:22:49+00:00,KainoKivi,"@lasleh @yleuutiset ""Terveys- ja sosiaalipalvelut tulevat puhelimeen""
Monelta jää huomaamatta, että digipalveluissa useasti rekisterinpitäjänä on yksityinen yritys, vaikka kuvittelet asioivasi julkisella. #tietosuoja #digi #sote"
2022-10-31 08:25:16+00:00,HirvonenSa,Nykyään ei ole elämää ilman puhelinta. Moni virka- asioiden hoito on #digi ssä samoin myös terveys ja hoito. Miten onnistuisi tämä ilman puhelinta tai läppäriä?
2022-10-27 08:49:40+00:00,Finnpartnership,"EU:n tuore strategia katalysoi 300mrd€ esim. digi-, energia-, terveys- ja koulutussektoreille.  Tule kuulemaan, miten Finnpartnership, @BusinessFinland ja muu @teamfinlandfi voivat auttaa yritystäsi tarttumaan kiinni mahdollisuuksiin! llm. viim. 2.11. https://t.co/bLWk5Jro7b"
2022-10-23 10:15:12+00:00,dogetalist,#digitalist-hommat tappaisi mut oon tuolloin Oulussa #digiterveys
2022-10-17 05:55:52+00:00,HIlmonen,"Digi-innostuksessa on paljon positiivista, mutta kaikkeen ratkaisuksi ei sekään sovi. Ihmisten terveys taipuu huonosti nolliksi ja ykkösiksi. #häiriökysyntä 

@WHO määritelmä #terveys: Täydellinen fyysisen, psyykkisen ja sosiaalisen hyvinvoinnin tila."
2022-10-13 16:41:58+00:00,Energiatutka,"@epekoo @BusinessFinland Mutta kaiken takana on #vihreäsiirtymä joka rakentuu pääsääntöisetsi digitalisaatioon ja älykkäisiin ratkaisuihin, voisiko sana alusta hoitaa #digiterveys palvelut? #huoltovarmuus #kyberturavllisuus #resilienssi #energiayheteisät #GDPR #myData #GAIAX @kristolehtonen"
2022-09-21 11:27:24+00:00,NihtinenJuha,"@MaijaPirttijrv1 @FIP_org @farmasialiitto Muistaakseni nyt eläkkeellä olevista n. 57% on käyttänyt työssään jo tietokonetta ja 2015  jääneet jo n. 79% on käyttänyt tietokonetta työssään.
Tämä tulee  kasvattamaan eri terveys digi palvelujen kysyntää ja käyttöä."
2022-08-15 21:35:56+00:00,FreedomFreebird,"@falconed62 @hederoxe Kaikki puhelinsovellusten ja digikontrollin kautta tapahtuva ""ilmaisena""&amp;""elämää helpottavana"" kansalle myytävä sisältää ansan. Digi e-lompakko digital e-wallet on kulku-osto-myynti-terveys-piikki-sijainti-saldo-kontrolliPASSI. Perustulo UBI ""tasa-arvoistaa"" keskiluokan köyhiksi."
2022-08-03 14:20:42+00:00,MarkkuPatynen,"Mahtaikohan #digiterveys ihmisistä löytyä kiinnostusta moiseen tilaisuuteen osallistumiseen. Uskoisin, että voi kannattaa! @THLorg @STM_Uutiset"
2022-07-23 10:07:20+00:00,MaasTul,"Terveys hoituu etänä paikkakunnasta riippumatta ‒ Digi ei kuitenkaan voi olla ainoa vaihtoehto, muistuttaa asiantuntija
https://t.co/S2u0QWIYKK"
2022-07-14 05:10:53+00:00,Energiatutka,"Mitä maksaa terveystarkastus ajon aikana? #digisote #alustatalous #digiterveys @TimoHarakka @sirpa_paatero #Digikompassi @MikaTuuliainen @TuulaHaatainen @TyttiTup   | BMW on alkanut myymään autoihinsa kuukausimaksullista penkinlämmitystä, kertoo The Verge: https://t.co/skh0zJSudZ"
2022-07-12 15:10:23+00:00,Energiatutka,"@KirsiKarla @Notquiteyou Kun tulee pulaa sähköstä @JukkaLeskela aikoo katkaista sähköjä talosta, miten käy #digiterveys palvelujen varassa olevat potilaat? #digisote #kyberturvallisuus #resilienssi #huoltovarmuus"
2022-07-06 08:00:28+00:00,Laaketieto,Lääke- ja terveysalan digipäivä -webinaarissa 28.9.2022 klo 9:00-15:30 alan ammattilaiset jakavat parhaita käytäntöjä sekä ideoivat parempaa digiterveyttä. Ilmoittaudu etuhintaan 495 € (+alv) viimeistään 24.8.2022 - lue lisää: https://t.co/Z3ly6ZEDEx #digipaiva #digiterveys https://t.co/lj6EygZSCe
2022-06-22 12:33:27+00:00,KaiKaasalainen,"Suomeen neljä EU:n digi-innovaatiohubia:
1️⃣ Robocoast (valmistava teollisuus)
2️⃣ HealthHub Finland (terveys)
3️⃣ Finnish AI Region (digitaaliset palvelut, älykkäät kaupungit ja terveys)
4️⃣ Location Innovation Hub (paikkatieto) https://t.co/DkY61CDslF
#innovaatio #EU #digi #TEM"
2022-06-10 11:32:16+00:00,JoukoSavolainen,"Terveysalan kasvustrategia on tuonut hyvää mutta olet @HendolinMinna oikeassa, että kilpailijamaat kasvattavat etumatkaa. Terveysala on aina ajankohtainen ja esim terveys- ja digialojen törmäytykseen sijoitetaan valtavasti pääomia mm. Yhdysvalloissa. Digi meet terveys anyone?"
2022-06-06 15:54:49+00:00,SariWestermarck,Karkkilan tienoo kirjoitti #lähiapteekin tärkeästä merkityksestä. #terveys #digi #palvelu #lääkeneuvonta #arvo #asiakas https://t.co/7YWsVs6t82
2022-05-17 16:11:00+00:00,LaakariPakosta,"Päivän saldoa

Moniäänisessä ja uudessa vapaassa Suomessa

Sinun on ajateltava seuraavasti

1) Koronapiikki on hyvä

2) Nato on hyvä

3) Rokotepassi on hyvä

4) Terveys on turvallisuutta

5) Turvallisuus on #Digi_Id

Yours, 
#MinistryOfTruth"
2022-05-03 16:24:54+00:00,AnttonMntyvaar1,"@LindenAki @MarinSanna Digitaalisen keskuspankkivaluutan maksusovellukset keräävät samaan tietokantaan tiedot kaikkien ihmisten maksutapahtumista. EU:ssa tiedot yhdistetään digi-identiteettiin, joka kerää mm. terveys- ja henkilötietoja."
2022-04-12 07:26:46+00:00,Terveystalo,"""Parhaimmillaan etävastaanotot vapauttavat resursseja lähityöhön ja säästävät potilaan aikaa ja vaivaa. Harva käyttäisi enää pankkiakaan, joka palvelisi vain konttorissa,"" julkisen digiterveyden johtaja Johan Sanmark sanoo.
#digiterveys #Terveystalo #sote
https://t.co/fQbXbzT274"
2022-04-11 12:00:29+00:00,Terveystalo,"Pohjois-Pohjanmaan sairaanhoitopiiri otti ensimmäisenä Suomessa käyttöön chatin Päivystysapu 116117 -palvelussa. Hoitajan saa kiinni 9 sekunnissa. Etänä annettu apu vähentää turhia käyntejä päivystyksessä. Chat toimii Terveystalon digialustalla.

#digiterveys #Terveystalo #Kaleva https://t.co/QFXmQ8Yr76"
2022-04-08 06:26:44+00:00,annealarotu,Onnea @Terveystalo'n tiimi Parhaan käyttökokemuksen palkinnosta @grandonefinland-kisassa! Huikeaa työtä ajanvarauspalvelun kehittämiseksi - asiakkaat palkitsevat työn kehumalla ja käyttämällä palvelua. #digiterveys #kohtiparempaa https://t.co/i99h6F3B9G
2022-04-06 11:50:26+00:00,annealarotu,Hoitojonoja voi purkaa myös etänä. Uusi digialustamme auttaa julkista terveydenhuoltoa tuomaan hoitoa pitkienkin välimatkojen päähän. #digiterveys
2022-04-05 04:49:35+00:00,Terveystalo,"Etävastaanotot auttavat hyvinvointialueita purkamaan hoitojonoja. Kehitimme julkisen terveydenhuollon tarpeisiin digialustan, joka mahdollistaa mm. chat- ja videovastaanotot sekä hoidon tarpeen itsearvion. 

Lue lisää: 👉 https://t.co/r2guoKxmxr

#digiterveys #terveystalo #sote https://t.co/Zg3dSPAYyo"
2022-03-30 11:38:54+00:00,healthcampustku,"Sarjassaan toinen sote-digi-kohtaamispaikka järjestetään 27.4. klo 9.-10.00. Tapahtuma tuo yhteen teknologia-alan yritykset, terveys- ja liikuntateknologian sekä terveys- ja hyvinvointialan ammattilaiset, palveluntarjoajat ja opiskelijat. Tule mukaan!
https://t.co/09CoWu68Z9"
2022-03-18 22:15:12+00:00,dogetalist,Ikkunaheijastuksesta huomaan #blogi ni viihdyttäneen runsaasti säästökeinoja #digiterveys
2022-03-18 10:52:32+00:00,STTInfo,**Tiedote** Asukkaat mukaan kehittämään Myllypuron terveys- ja hyvinvointikeskusta digi-ryhmässä https://t.co/f9b7F2iHHS
2022-03-14 08:34:00+00:00,TerhyTurkuAMK,"@HealthCampusTurku ja #REDISOTE-projektin verkkotapahtuma tuo yhteen terveys- ja liikuntateknologian sekä terveys- ja hyvinvointialan ammattilaiset, palveluntarjoajat ja opiskelijat. Sote-digi-kohtaamispaikka 23.3. klo 9 alkaen. Ilmoittaudu 16.3. mennessä: https://t.co/nmOscjmrHJ"
2022-03-03 11:13:30+00:00,healthcampustku,"Ensimmäinen Sote-digi-kohtaamispaikka järjestetään 23.3. klo 9.-10.00! Tapahtuma tuo yhteen teknologia-alan yritykset, terveys- ja liikuntateknologian, terveys- ja hyvinvointialan ammattilaiset, palveluntarjoajat ja opiskelijat. Ilmoittaudu 16.3. mennessä! https://t.co/09CoWu6GOH"
2022-02-25 06:44:32+00:00,siniveikko,"@NevgiAnne @lauraevans2021 @STM_Uutiset Onko niin että päätösvalta terveysasioissa on jo sovittu annettavaksi WHO:lle? Tähän sisältyy Digi id (Raha, terveys,päästöt,valvonta) ja että nyt otetut velat mitätöidään, hintana se, että valtio ottaa käyttöön World Bankin digi id:n @MarinSanna"
2022-02-23 05:30:02+00:00,Terveystalo,"#Digiterveys on osa Terveystalon ydinliiketoimintaa; alustallamme tehdään jo miljoona asiakaskäyntiä vuodessa ja sillä on 1,7 miljoonaa rekisteröityä käyttäjää. 
Lue lisää vuosikertomuksestamme: https://t.co/LNJWCGUlGY
#vuosikertomus #terveystalo https://t.co/ZOg4zehf9X"
2022-02-22 07:57:40+00:00,HelioLasse,"@heliramax Terveys turvallisuuden nimissä, lisäsimme sinut listaan. Terveys turvallisuuden epäilijä.
Korttisi jäädytetään, lemmikkisi tapetaan, lapsesi huostaan otetaan... eikä siinä kaikki. Bad Ass, pisteesi siirtyy ID uuteen digi aikaan. Tosi tosi hyvä on ID Mandaattipiikki epäilijöille. https://t.co/VR14CygKFG"
2022-02-20 13:31:50+00:00,HelioLasse,"@ER_Korhola Älkäähän nyt, tappaminen on ollut tähän asti hiljaista piikitystä vaan...
Nyt kerätään toisinajattelijoista tietoa poliisin avustuksella. Terveys turvallisuutenne vuoksi... Digi ID  tiedot kerätään, ja oikeet rokotteet jatkossa väärinajattelijoille. https://t.co/EEFguPvygc"
2022-02-17 11:16:05+00:00,healthcampustku,"Sote-digi-kohtaamispaikka tuo yhteen teknologia-alan yritykset, terveys- ja liikuntateknologian sekä terveys- ja hyvinvointialan ammattilaiset, palveluntarjoajat ja opiskelijat. Ensimmäinen tapahtuma 23.3. klo 9.-10.00. Lue lisää ja ilmoittaudu mukaan!
https://t.co/09CoWu68Z9"
2022-02-12 11:07:44+00:00,timorainio,"Haluatko nostaa organisaatiosi hyvinvoinnin uudelle tasolle?
@TAMK_UAS @TampereUni @kehityosaajana #ihminenratkaisee @BusinessTampere @Tamperekaupunki  #Hyvinvointi 
https://t.co/31hweeBehy
""Digiterveys®-ohjelma tuo hyötyjä sekä yksilöille että organisaatiolle Tukea organisaati…"
2022-02-06 12:18:41+00:00,HeiniKettunen,"@TKL_Sanna_S Hyvä niin. Tavalliset suomalaiset ehkä alkavat miettiä, haluammeko Suomeen EU:n digitaalista rokokepassia, jonka pohjalta voidaan luoda digi-identiteetti. Siihen kun yhdistetään terveys-, pankki- ja viranomaistiedot, niin meille on kiinalaistyylinen digivalvontajärjestelmä."
2022-02-04 14:25:23+00:00,naughty05862332,"@ErkkaRailo tämä kontrolli passi tulee sisältämään mm.Digi lompakon, terveys/rokotetiedot, vakuutukset, sähkösopimukset, sakot lainatiedot, pankki/luottokortin, ajokorttisi, passin/hlötodistuksen.

Jos siis tulevaisuudessa kieltäydyt pakollisista rokotuksesta voidaan vaikka tilisi sulkea!"
2022-02-01 09:54:21+00:00,ShSeija,"@DennisMitzner Elina Valtonen ja P.Orpo haluavat kontrollointia Saksan malliin.Digi-ID,digi-lompakko,digitaalinen terveys.Näistä kävi Valtonen Saksassa jo kouluttautumassa."
2022-01-26 16:23:16+00:00,ShSeija,"@lauraevans2021 Kuka äänestikään kokoomusta😡.Kokoomuksen aikomukset Orpo,Valtonen ym.kannattavat koronapassia ,digi-ID( Valtonen kävi Saksassa) ..ym Digi-lompakko,digitaalinen terveys..."
2022-01-21 21:50:26+00:00,ToukoAalto,"Digi- ja etävastaanotolla voidaan täydentää terveys- ja sosiaalihuollon lähipalveluita, ei korvata niitä. Erilaisilla ihmisillä on erilaisia palvelutarpeita eikä yksi ratkaisu toimi kaikille. Silti kaikkien tarpeet tulee huomioida palvelustrategia -ja verkkopäätöksissä"
2022-01-07 14:04:40+00:00,DigiOulu,"https://t.co/qr0TbIpjjj
Keskeinen kysymys uusille alueellisille päättäjille. Mihin digitaalisuudella päästäisiin Pohjois-Suomen terveydenhuollossa harvaan asutuilla alueilla? #DigiHealth #digitalisaatiolla_hyvinvointia #Digiterveys @UniOulu #terveyspalvelut"
2022-01-07 10:56:40+00:00,AnttonMntyvaar1,"Kuinka moni todella haluaa Suomeen ""yleiseurooppalaisena ratkaisuna"" markkinoidun EU:n digitaalisen identiteetin, jossa digi-euron maksusovellus yhdistetään terveys- ja henkilötietoihin? Jo nyt osa kansasta suljetaan ulos väärän QR-koodin perusteella.
https://t.co/lSppmbS1h8"
