Päivämäärä,Käyttäjätunnus,Aihe,Twiitti,Suodatettu_Twiitti,Twiitti_englanniksi,Tunneluku,Tunneluokka
2018-02-01,erkki_soini,A0,"Tästä se lähtee, sosiaali- ja terveydenhuolto, digitalisaatio ja toimintojen uudistaminen. Kovasti odotettu #roadshow! 
#Kajaani #vaikuttavuus #digitalisaatio #asiakas
#maakuntasotedigi #odahanke #virtuaalisairaala2 #unahanke https://t.co/FGAdUHDbBz",lähteä sosiaali terveydenhuolto digitalisaatio toiminto uudistaminen kovasti odottaa vaikuttavuus digitalisaatio asiakas maakuntasotedigi odahanke virtuaalisairaala2 unahanke _ url _,"This is where it starts, social and health care, digitalization and renewal of functions. The much anticipated #roadshow!
#Kajaani #impact #digitalization #customer
#maakuntasotedigi #odahanke #virtualaisairaala2 #uhanahanke https://t.co/FGAdUHDbBz",0.5411,positiivinen
2017-09-22,noora_seilo,A0,Rohkeaa kokeilua ja kriittistä arviointia. #digitalisaatio #terveydenhuolto https://t.co/02WPr8wOio,rohkea kokeilu kriittistä arviointi digitalisaatio terveydenhuolto _ url _,Courageous experimentation and critical evaluation. #digitalization #healthcare https://t.co/02WPr8wOio,0.2732,neutraali
2017-12-21,digiterveys,A0,https://t.co/X8V8Y8yLo5,_ url _,https://t.co/X8V8Y8yLo5,0.0,neutraali
2017-09-23,PeltolaOjala,A0,Terveydenhuolto hyödyntää nopeita verkkoja pian #digitalisaatio #laajakaista #IoT #tekoäly https://t.co/SO546AB1Kg,terveydenhuolto hyödyntää nope verkko pian digitalisaatio laajakainen tekoäly _ url _,Healthcare will use fast networks soon #digitalization #laajakaista #IoT #intelligence https://t.co/SO546AB1Kg,0.4767,positiivinen
2017-09-23,astroavinash,A0,Terveydenhuolto hyödyntää nopeita verkkoja pian #digitalisaatio #laajakaista #IoT #tekoäly https://t.co/nhm882M0zB MT @PeltolaOjala,terveydenhuolto hyödyntää nope verkko pian digitalisaatio laajakainen tekoäly _ url _ mt @peltolaojala,Healthcare will use fast networks soon #digitalization #wideband #IoT #intelligence https://t.co/nhm882M0zB MT @PeltolaOjala,0.4767,positiivinen
2017-10-05,satu_lipponen,A0,"#digitalisaatio lääkärin silmin, Lääkäriliiton @kati_myllymaki  Digitalisoituva terveydenhuolto-seminaarissa. https://t.co/RXMFrYPTNU",digitalisaatio lääkäri silmä lääkäriliiton @kati_myllymaki digitalisoituva terveydenhuolto-seminaarissa _ url _,"#digitalization through the eyes of a doctor, Lääkäriliiton @kati_myllymaki Digitalizing at the health care seminar. https://t.co/RXMFrYPTNU",0.4939,positiivinen
2017-10-05,KoivulaLiisa,A0,Tässä toimii semmarioloissa etäyhteys lääkäriin. Palvelua saa Vähänkyrön #apteekki 'ssa  #digitalisaatio #terveydenhuolto @Apteekkarifi https://t.co/0oIliiOE3G,toimia etäyhteys lääkäriin palvelu saada vähänkyrön apteekki digitalisaatio terveydenhuolto @apteekkarifi _ url _,This is where a remote connection to a doctor works in summer conditions. You can get the service at #apteekki in Vähänkyrö #digitalization #healthcare @Apteekkarifi https://t.co/0oIliiOE3G,0.0,neutraali
2017-10-05,AKuivalainen,A0,"Yli puolet tuhannesta suomalaisesta kokevat #digitalisaatio´n parantaneen th:n palveluita. Mites muut?
#digitalisaatio #terveydenhuolto https://t.co/wscL2QpzBW",yli puoli suomalainen kokea digitalisaatio n parantaneen th:n palvelu mites digitalisaatio terveydenhuolto _ url _,"More than half of a thousand Finns feel that #digitalization has improved th's services. What about the others?
#digitalization #healthcare https://t.co/wscL2QpzBW",0.4767,positiivinen
2017-10-30,AnnukkaMeronen,A0,Hienoa! Mobiilisovelluksen avulla leikkaussalien potilasturvallisuus parani #terveydenhuolto #sote #digitalisaatio https://t.co/GJZ6GUKIVT,hieno mobiilisovellus apu leikkaussali potilasturvallisuus paranee terveydenhuolto sote digitalisaatio _ url _,"Great! Using the mobile application, patient safety in operating rooms improved #terveydenhuolto #sote #digitalisation https://t.co/GJZ6GUKIVT",0.8832,positiivinen
2017-10-31,Rilimam,A0,"#Digitalisaatio mullistaa terveydenhuollon #digatalist 
#sote #terveydenhuolto #etäkuntoutus #robotiikka #koulutus https://t.co/0HOQHly2o1",digitalisaatio mullistaa terveydenhuolto digatalist sote terveydenhuolto etäkuntoutus robotiikka koulutus _ url _,"#Digitalization is revolutionizing healthcare #digatalist
#sote #terveydenhuolto #remote rehabilitation #robotics #training https://t.co/0HOQHly2o1",0.0,neutraali
