Päivämäärä,Käyttäjätunnus,Aihe,Twiitti,Suodatettu_Twiitti,Twiitti_englanniksi,Tunneluku,Tunneluokka
2017-03-11,lauraandersson,A0,"""Terveydenhuolto uudistuu seur 20 v aikana enemmän kuin aiempien 200 v aikana"" @sarisarkomaa #digitalisaatio #otasotehaltuun @Invalidiliitto https://t.co/HydFPqeiXP",terveydenhuolto uudistua seur v aika enemmän aiempi v aika @sarisarkomaa digitalisaatio otasotehaltu @invalidiliitto _ url _,"""health care will be reformed in the next 20 years more than in the previous 200 years"" @sarisarkomaa #digitalisaatio #otasotehaltuun @invalidiliitto https://t.co/hydfpqeixp",0.4939,positiivinen
2018-08-17,KALehto,A0,"#Tekoäly havaitsi seulomalla sydämen vajaatoiminnan, mitä lääkärit eivät olleet huomanneet.

#AI #terveydenhuolto #digitalisaatio #sote #robotisaatio

https://t.co/gFeFYuL5A4",tekoäly havaita seuloma sydän vajaatoiminna lääkäri huomana terveydenhuolto digitalisaatio sote robotisaatio _ url _,"#artificial intelligence detected heart failure by screening, which doctors had not noticed.

#ai #healthcare #digitalization #sote #robotization

https://t.co/gfefyul5a4",-0.0516,neutraali
2018-08-17,KALehto,A0,"On oleellista ymmärtää, että #tekoäly'n myötä läkärien rooli muuttuu. #digitalisaatio #terveydenhuolto #sote",oleellinen ymmärtää läkäri rooli muuttua digitalisaatio terveydenhuolto sote,"it is essential to understand that with #artificial intelligence, the role of doctors will change. #digitalization #healthcare #healthcare",0.4767,positiivinen
2017-02-02,digiterveys,A0,https://t.co/Dliix9fFmV https://t.co/9MykXiVoNW,_ url _ _ url _,https://t.co/dliix9ffmv https://t.co/9mykxivonw,0.0,neutraali
2018-08-28,TurkuDigital,A0,"""Digitalisaation järkevässä ja tehokkaassa toteutumisessa keskeistä onkin sosiaali- ja terveydenhuollon henkilöstön hyvä digiosaaminen."" Kyllä, tähänkin tulee keskittyä, kansalaisten digiosaamisen ohella. #digitalisaatio #sote #terveydenhuolto",digitalisaatio järkevässä tehokkaassa toteutumisessa keskeistä sosiaali terveydenhuolto henkilösttö hyvä digiosaaminen kyllä tulla keskittyä kansalainen digiosaaminen digitalisaatio sote terveydenhuolto,"""in the rational and effective implementation of digitization, good digital skills of the social and health care personnel are central."" yes, this should also be focused on, along with citizens' digital skills. #digitalization #sote #healthcare",0.926,positiivinen
2018-08-31,satuajatotta,A0,"Digitalisaatio, terveydenhuolto ja hyvinvointi yhdistettynä Asiakaskokemus, tekoäly, toisilta toimialoilta oppiminen, operatiivinen tehokkuus, mutta myös ihmisten tuottama lisäarvo, tästä on hyvä jatkaa tätä päivää! #hallinnonpaiva2018",digitalisaatio terveydenhuolto hyvinvointi yhdistää asiakaskokemus tekoäly toimialoilta oppiminen operatiivinen tehokkuus myös ihminen tuottaa lisäarvo hyvä jatkaa päivä hallinnonpaiva2018,"digitalization, health care and well-being combined customer experience, artificial intelligence, learning from other industries, operational efficiency, but also the added value produced by people, this is good to continue today! #governanceday2018",0.903,positiivinen
2018-09-07,pohjanmaanlikka,A0,#Digitalisaatio avaa ikkunan #potilaan arkeen - Sic!  #prosessit #chat #terveydenhuolto                             https://t.co/4rAVGWKcPJ,digitalisaatio avata ikkuna potilas arki sic prosessi terveydenhuolto _ url _,#digitalization opens a window into #patient's everyday life - sic! #processes #chat #healthcare https://t.co/4ravgwkcpj,0.0,neutraali
2018-09-09,LarsByggmastar,A0,"""Terveydenhuollon suuri ongelma on, että ammattilaisten aika kuluu papereiden pyörittämiseen ja tietokoneen näpyttelyyn."" - Kovin tutulta kuulostaa... #tekoäly #terveydenhuolto #digitalisaatio https://t.co/dNm9xPLv5F",terveydenhuollo suuri ongelma ammattilainen aika kulua paperi pyörittäminen tietokone näpyttely kovin tutulta kuulostaa tekoäly terveydenhuolto digitalisaatio _ url _,"""the big problem in health care is that professionals' time is spent turning over papers and typing on the computer."" - sounds very familiar... #tekoäly #terveydenhuolto #digitalisaatio https://t.co/dnm9xplv5f",0.128,neutraali
2018-09-10,zittling,A0,Digitalisaatio tuo tulevaisuudessa tehokkuutta terveydenhuoltoon @MiiaLindell  #tehokkuus #terveydenhuolto #terveysteknologiayritykset #sote #kilpailukyky https://t.co/nMvsZKNf6C,digitalisaatio tuoda tulevaisuus tehokkuus terveydenhuolto @miialindell tehokkuus terveydenhuolto terveysteknologiayrityknen sote kilpailukyky _ url _,digitization will bring efficiency to health care in the future @miialindell #efficacy #terveydenhuolto #terveysteknologiiaforkytky #sote #kilpiklokyky https://t.co/nmvszknf6c,0.6908,positiivinen
2018-09-12,Tarja_paajo,A0,"Kun #tekoäly ja verkko tekevät osan asiantuntijoiden työstä,  asiantuntijoiden rooli muuttuu. #asiantuntija #digitalisaatio #terveydenhuolto #akavalainen https://t.co/jCJf4me2G6",tekoäly verkko tehdä osa asiantuntija työ asiantuntija rooli muuttua asiantuntija digitalisaatio terveydenhuolto akavalainen _ url _,"when #artificial intelligence and the web do part of the work of experts, the role of experts changes. #asiantuntija #digitalization #health care #akavalainen https://t.co/jcjf4me2g6",0.743,positiivinen
2018-07-25,Multifinality,A0,"@Saario_Minna @makelant Kännyköillä voisi tehdä jo paljon diagnooseja ja suuressa maailmassa on lupaavia #virtuaalitohtori-sovelluksia, kuten tämä https://t.co/GqOhEl2hPa  #digitalisaatio #terveydenhuolto",@saario_minna @makelant kännyköillä tehdä jo paljon diagnoosi suuri maailma lupaava virtuaalitohtori-sovelluksia _ url _ digitalisaatio terveydenhuolto,"@saario_minna @makelant cell phones could already do a lot of diagnoses and there are promising #virtualdoctor apps in the big world, like this one https://t.co/gqohel2hpa #digitalization #healthcare",0.6369,positiivinen
